Menu,Price,Rating,Review,Category
Coca-Cola Zero,2.1,4.6,168.0,Bebida
Coca-Cola,2.0,4.6,11.0,Bebida
Coca-Cola Zero,2.0,4.6,11.0,Bebida
Coca-Cola,2.7,4.7,132.0,Bebida
Coca-Cola Zero,2.7,4.7,132.0,Bebida
Coca-Cola 33cl,2.0,4.5,169.0,Bebida
Coca-Cola Zero 33cl,2.0,4.5,169.0,Bebida
Coca-Cola 1.5L,3.99,4.5,169.0,Bebida
Coca-Cola,2.15,4.4,33200.0,Bebida
Coca-Cola Zero,2.15,4.4,33200.0,Bebida
Coca-Cola,2.2,4.2,18.0,Bebida
Coca-Cola Zero,2.2,4.2,18.0,Bebida
Coca-Cola 35cl,2.2,4.6,740.0,Bebida
Coca-Cola Zero 35cl,2.2,4.6,740.0,Bebida
Coca-Cola,0.0,4.4,5670.0,Bebida
Coca-Cola Zero,0.0,4.4,5670.0,Bebida
Coca-Cola Zero 33cl,2.45,4.5,436.0,Bebida
Coca-Cola 33cl,2.45,4.5,436.0,Bebida
Coca-Cola,2.2,4.4,18.0,Bebida
Coca-Cola Zero,2.2,4.4,18.0,Bebida
Coca-Cola 33cl,1.99,3.9,35.0,Bebida
Coca-Cola Zero 33cl,1.99,3.9,35.0,Bebida
Coca-Cola 1.5L,3.99,3.9,35.0,Bebida
Coca-Cola 2L,4.69,3.9,35.0,Bebida
Coca-Cola,1.9,4.2,61.0,Bebida
Coca-Cola Zero,1.9,4.2,61.0,Bebida
Coca-Cola,2.4,4.7,2640.0,Bebida
Coca-Cola Zero,2.5,4.8,1260.0,Bebida
Coca-Cola,2.5,4.8,1260.0,Bebida
Coca-Cola Zero 33cl,1.99,4.5,43.0,Bebida
Coca-Cola 33cl,1.99,4.5,43.0,Bebida
Coca-Cola 1.5L,3.99,4.5,43.0,Bebida
Coca-Cola 2L,4.69,4.5,43.0,Bebida
Coca-Cola 30cl,2.7,4.6,35.0,Bebida
Coca-Cola Zero,2.0,4.7,1390.0,Bebida
Coca-Cola,2.0,4.7,1390.0,Bebida
Coca-Cola,2.5,4.1,36.0,Bebida
Coca-Cola Zero,2.5,4.1,36.0,Bebida
Coca-Cola,2.5,4.4,121.0,Bebida
Coca-Cola Zero,2.5,4.4,121.0,Bebida
Coca-Cola,1.5,4.6,53.0,Bebida
Coca-Cola,2.95,4.4,433.0,Bebida
Coca-Cola Zero,2.95,4.4,433.0,Bebida
Coca-Cola,2.08,4.8,12.0,Bebida
